   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
                   0,                   0,                   0,                   0,             0.10109,             0.10969,            0.052033,                0.01,                 0.1,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
                   0,                   0,                   0,                   0,             0.10717,              0.1173,            0.057281,             0.00905,                 0.1,             0.93147,             0.00048,              2.9582,             0.82157,             0.10156,             0.05333,             0.51886,              1.0813,               1.026,              1.0382,                 0.2,                   4,                   0,               0.015,             0.68071,             0.39269,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,             0.93871,                   0,                   0,                   3
                   0,                   0,                   0,                   0,             0.10709,             0.10176,            0.056422,             0.00905,             0.09641,              0.9169,             0.00051,              2.8031,             0.83258,             0.10269,             0.05333,             0.50977,              1.0856,             0.88844,              1.0382,                 0.2,              4.0443,                   0,             0.01532,             0.70389,             0.39541,                   0,              0.1006,                 0.5,                   0,                   0,                   0,                 0.5,               0.974,                   0,                   0,              3.1091
                   0,                   0,                   0,                   0,             0.10715,             0.10217,            0.058713,             0.00905,             0.09641,             0.94048,             0.00051,              2.3819,             0.81304,             0.08726,             0.05333,             0.50883,              1.1411,             0.96583,             0.94291,                 0.2,              4.0443,                   0,             0.01446,             0.70389,             0.37872,                   0,             0.10287,             0.42521,                   0,                   0,                   0,                 0.5,             0.93563,                   0,                   0,              3.0218
                   0,                   0,                   0,                   0,             0.10797,             0.10199,            0.059616,              0.0091,              0.0986,             0.95139,             0.00052,               2.457,             0.76934,               0.087,             0.05333,             0.51934,              1.1314,             0.96574,             0.95425,                 0.2,              3.9958,                   0,              0.0142,             0.70389,             0.38091,                   0,              0.1064,             0.42602,                   0,                   0,                   0,                 0.5,             0.94682,                   0,                   0,              3.0218
                   0,                   0,                   0,                   0,             0.10855,             0.10101,            0.061277,             0.00907,             0.09689,             0.94671,             0.00053,               2.519,             0.80129,               0.087,             0.05391,             0.51934,              1.1733,             0.92952,             0.97694,                 0.2,              4.0521,                   0,              0.0147,             0.74013,             0.38505,                   0,             0.10441,             0.42038,                   0,                   0,                   0,                 0.5,             0.94682,                   0,                   0,              2.7969
                   0,                   0,                   0,                   0,             0.12674,             0.10076,             0.06129,             0.00795,             0.10092,             0.97146,             0.00052,              2.5593,             0.71113,             0.08807,             0.06354,             0.53417,              1.1257,             0.96152,             0.95425,                 0.2,               3.266,                   0,              0.0142,             0.60152,             0.30694,                   0,             0.11193,             0.44676,                   0,                   0,                   0,                 0.5,             0.94682,                   0,                   0,              3.8573
                   0,                   0,                   0,                   0,             0.11076,             0.11475,            0.055765,              0.0091,             0.09261,             0.92769,             0.00054,              2.3391,             0.77568,             0.08911,             0.05537,              0.4859,              1.1314,                1.03,              1.0163,                 0.2,              3.6487,                   0,             0.01531,             0.70554,             0.39859,                   0,              0.1064,             0.39008,                   0,                   0,                   0,                 0.5,             0.94682,                   0,                   0,              2.7197
                   0,                   0,                   0,                   0,             0.10693,            0.096219,             0.05985,              0.0091,              0.0994,             0.96087,             0.00061,              2.3071,             0.70798,             0.09848,             0.05333,             0.47625,              1.2664,             0.92409,             0.97021,                 0.2,              3.4505,                   0,             0.01422,             0.73648,             0.33262,                   0,             0.10603,             0.46589,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.6779
                   0,                   0,                   0,                   0,              0.1007,             0.08227,            0.066219,              0.0091,              0.0986,             0.95139,             0.00052,              1.8527,             0.80399,               0.087,             0.05123,             0.57941,              1.1314,             0.99593,             0.72648,                 0.2,              3.2887,                   0,             0.01441,             0.70302,             0.46884,                   0,              0.1064,             0.42602,                   0,                   0,                   0,                 0.5,             0.62346,                   0,                   0,              2.6552
                   0,                   0,                   0,                   0,             0.11058,             0.10503,            0.059344,              0.0091,              0.0986,             0.95139,             0.00052,              2.4673,             0.77262,             0.08586,             0.05455,             0.51484,              1.1368,             0.96999,             0.98393,                 0.2,              4.2138,                   0,             0.01467,             0.68413,             0.36399,                   0,             0.10471,             0.44098,                   0,                   0,                   0,                 0.5,             0.95241,                   0,                   0,              2.8856
                   0,                   0,                   0,                   0,             0.13281,             0.11245,            0.071183,             0.00907,             0.09536,             0.94641,             0.00055,              2.4887,             0.79537,              0.0909,             0.06601,              0.5859,              1.2202,             0.97737,              1.0439,                 0.2,                4.18,                   0,             0.01426,             0.70108,             0.38091,                   0,              0.1095,             0.48116,                   0,                   0,                   0,                 0.5,             0.79874,                   0,                   0,              3.0063
                   0,                   0,                   0,                   0,             0.10631,             0.10175,            0.060413,              0.0091,             0.09779,             0.95055,             0.00052,              2.4083,             0.80241,             0.08736,             0.05275,             0.52519,              1.1364,             0.96135,             0.94895,                 0.2,              3.9958,                   0,             0.01427,             0.69003,             0.37331,                   0,             0.10283,             0.42859,                   0,                   0,                   0,                 0.5,             0.94682,                   0,                   0,              2.8377
                   0,                   0,                   0,                   0,              0.1083,             0.10423,            0.086467,             0.01084,             0.08135,             0.97496,             0.00055,              2.4192,             0.76934,             0.08779,             0.05333,             0.63937,              1.3963,             0.86848,              1.1172,                 0.2,              3.9958,                   0,             0.01513,              0.7015,             0.40282,                   0,             0.10384,             0.47204,                   0,                   0,                   0,                 0.5,             0.97821,                   0,                   0,              3.0218
                   0,                   0,                   0,                   0,             0.10547,            0.098724,            0.061375,              0.0091,              0.0986,             0.95139,             0.00051,              2.5823,             0.81569,             0.09407,             0.05264,             0.51934,              1.1783,             0.97368,             0.89194,                 0.2,              4.0076,                   0,             0.01414,             0.72579,             0.38725,                   0,             0.10273,             0.42419,                   0,                   0,                   0,                 0.5,             0.90986,                   0,                   0,              2.8745
                   0,                   0,                   0,                   0,             0.11122,            0.097768,            0.061439,             0.00885,             0.09566,             0.94945,             0.00053,              2.3502,             0.78376,             0.08495,             0.05516,             0.51934,              1.1757,             0.94589,             0.92235,                 0.2,              3.9718,                   0,             0.01341,             0.71144,             0.39512,                   0,             0.10932,             0.42164,                   0,                   0,                   0,                 0.5,             0.90093,                   0,                   0,               2.804
                   0,                   0,                   0,                   0,             0.10456,             0.13952,             0.07078,             0.01145,             0.11594,                0.98,             0.00052,              1.8992,              0.5576,             0.06477,             0.04995,             0.48379,              1.5091,              1.2026,              1.1461,                 0.2,              3.8449,                   0,             0.01557,             0.52468,             0.38364,                   0,               0.105,             0.36568,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.4925
                   0,                   0,                   0,                   0,               0.126,             0.13415,            0.077876,             0.00883,             0.10828,             0.92747,             0.00062,              2.6342,             0.61659,             0.09648,             0.06171,             0.60002,              1.3156,              1.1717,              1.0653,                 0.2,              4.2325,                   0,               0.015,             0.72577,              0.3932,                   0,             0.10009,             0.40946,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.7717
                   0,                   0,                   0,                   0,             0.10803,             0.13821,            0.062681,              0.0091,             0.08153,             0.95055,             0.00048,              2.5239,             0.67447,             0.09563,             0.05275,             0.51102,              1.2257,              1.3209,             0.95846,                 0.2,              4.4459,                   0,             0.01495,             0.69745,             0.37527,                   0,             0.10283,             0.40794,                   0,                   0,                   0,                 0.5,             0.81652,                   0,                   0,              2.9044
                   0,                   0,                   0,                   0,             0.10898,             0.10304,             0.08022,             0.01052,             0.07673,             0.96473,             0.00055,              2.6061,             0.73717,             0.08424,             0.05333,             0.59073,              1.3963,             0.86674,              1.1172,                 0.2,              3.9958,                   0,             0.01263,             0.72273,             0.39683,                   0,             0.10478,              0.4877,                   0,                   0,                   0,                 0.5,             0.96528,                   0,                   0,              3.0802
                   0,                   0,                   0,                   0,              0.1038,             0.10002,            0.062824,             0.00918,             0.09733,             0.95097,              0.0005,              2.5061,             0.81599,             0.09257,             0.05176,             0.53166,              1.1783,             0.98798,             0.89194,                 0.2,              4.0357,                   0,             0.01427,             0.70839,             0.38725,                   0,             0.10273,             0.41714,                   0,                   0,                   0,                 0.5,             0.93582,                   0,                   0,              2.8745
