               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12506,            0.095194,            0.057476,          0.00079851,             0.11765,          0.00074129,          0.00015881,             0.12054,             0.07827,            0.057056,           0.0002354,           0.0002354,             0.10062
                   1,             0.12548,            0.091855,            0.057395,          0.00079851,             0.11765,          0.00070123,          0.00014979,             0.12052,            0.078315,            0.057058,          0.00058734,          0.00058734,            0.097896
                   2,             0.12449,             0.10128,            0.057307,          0.00079851,             0.11765,          0.00068695,          0.00014666,             0.12046,            0.078417,            0.057062,          0.00093787,          0.00093787,            0.095173
                   3,             0.12328,            0.092516,             0.05726,          0.00079851,             0.11765,          0.00069109,          0.00014841,             0.12035,            0.078604,            0.057062,            0.001287,            0.001287,             0.09245
                   4,             0.12364,            0.097459,            0.057257,          0.00079851,             0.11765,          0.00092261,          0.00019302,             0.12017,            0.078895,            0.057061,           0.0016348,           0.0016348,            0.089725
                   5,             0.12287,            0.097719,            0.057141,          0.00082069,             0.12092,          0.00081533,          0.00016957,             0.12007,            0.079068,            0.057081,           0.0019811,           0.0019811,            0.086998
                   6,             0.12335,             0.10546,            0.057073,                   0,                   0,                   0,                   0,             0.16944,            0.016055,             0.20068,            0.002326,            0.002326,             0.08427
                   7,             0.12183,            0.094437,             0.05693,                   0,                   0,                   0,                   0,              0.1873,            0.079231,              2.1132,           0.0026696,           0.0026696,            0.081541
                   8,             0.12265,             0.11773,            0.056787,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,           0.0030118,           0.0030118,             0.07881
                   9,             0.12025,             0.11386,            0.056755,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,           0.0033525,           0.0033525,            0.076078
                  10,             0.11998,             0.12029,             0.05652,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,           0.0036919,           0.0036919,            0.073344
                  11,             0.11898,             0.11338,            0.056407,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,           0.0040298,           0.0040298,            0.070609
                  12,              0.1188,              0.1056,            0.056205,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,           0.0043664,           0.0043664,            0.067873
                  13,             0.11659,              0.1088,            0.056048,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,           0.0047016,           0.0047016,            0.065135
                  14,             0.11459,             0.10976,            0.055773,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,           0.0050353,           0.0050353,            0.062396
                  15,             0.11754,             0.11211,            0.055537,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,           0.0053677,           0.0053677,            0.059656
                  16,             0.11623,             0.10814,            0.055341,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,           0.0056987,           0.0056987,            0.056914
                  17,             0.11603,             0.12232,             0.05506,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,           0.0060282,           0.0060282,             0.05417
                  18,             0.11733,             0.11433,            0.055054,                   0,                   0,                   0,                   0,                 nan,                 nan,              8.7375,           0.0063564,           0.0063564,            0.051426
                  19,               0.117,             0.12256,            0.054771,                   0,                   0,                   0,                   0,                 nan,                 nan,              3.8791,           0.0066832,           0.0066832,            0.048679
                  20,             0.11768,             0.10332,            0.054596,             0.17539,            0.016667,           0.0021481,          0.00042963,                 nan,                 nan,              2.5386,           0.0070086,           0.0070086,            0.045932
                  21,             0.11579,             0.11307,            0.054392,             0.17662,            0.018519,           0.0028953,            0.001017,                 nan,                 nan,             0.92404,           0.0073326,           0.0073326,            0.043183
                  22,             0.11435,             0.10532,            0.054481,           0.0028699,            0.022523,           0.0013509,          0.00033904,                 nan,                 nan,             0.53457,           0.0076551,           0.0076551,            0.040433
                  23,             0.11502,             0.10797,            0.053983,           0.0016563,            0.025926,          0.00092574,          0.00019857,                 nan,                 nan,             0.24959,           0.0079763,           0.0079763,            0.037681
                  24,             0.11686,             0.12058,            0.053657,             0.17055,            0.011283,           0.0012881,           0.0002548,                 nan,                 nan,             0.16156,           0.0082961,           0.0082961,            0.034928
                  25,             0.11379,             0.11078,            0.053611,             0.16938,            0.028795,           0.0013314,          0.00026148,             0.13111,            0.067663,            0.062738,           0.0086145,           0.0086145,            0.032173
                  26,             0.11345,             0.10022,            0.053899,             0.16918,            0.015847,           0.0012093,          0.00030325,             0.13819,            0.059247,            0.068771,           0.0089315,           0.0089315,            0.029418
                  27,             0.11145,             0.11299,            0.053273,             0.17442,            0.035701,           0.0033835,          0.00064085,             0.12858,            0.070641,            0.062032,           0.0092471,           0.0092471,             0.02666
                  28,             0.11486,              0.1114,            0.053048,             0.17051,            0.019361,           0.0026842,          0.00047324,             0.13107,            0.067848,            0.064792,           0.0095613,           0.0095613,            0.023902
                  29,             0.11483,             0.10394,            0.053098,             0.17215,            0.025774,           0.0019909,          0.00046925,             0.12764,            0.071634,            0.063734,           0.0098741,           0.0098741,            0.021141
                  30,             0.11373,             0.10398,            0.052701,             0.34314,            0.035948,           0.0047047,           0.0011645,             0.11365,             0.08798,            0.055574,            0.010186,            0.010186,             0.01838
                  31,              0.1144,             0.10935,            0.052498,              0.3355,           0.0031447,          0.00067884,          0.00013944,             0.14011,            0.054214,             0.08507,            0.010496,            0.010496,            0.015617
                  32,             0.11313,             0.10481,            0.052356,                   0,                   0,                   0,                   0,             0.15922,            0.030671,             0.13663,            0.010804,            0.010804,            0.012853
                  33,             0.11439,             0.10639,            0.052384,                   0,                   0,                   0,                   0,              0.1729,            0.028151,             0.39338,            0.011001,            0.011001,            0.011001
                  34,              0.1144,             0.10459,            0.051612,                   0,                   0,                   0,                   0,             0.17358,            0.035948,              0.6021,            0.011001,            0.011001,            0.011001
                  35,             0.11437,             0.11125,             0.05175,                   0,                   0,                   0,                   0,             0.17242,            0.033565,             0.60021,            0.010978,            0.010978,            0.010978
                  36,             0.11371,            0.098062,            0.051383,                   0,                   0,                   0,                   0,             0.17232,            0.036837,             0.69461,            0.010955,            0.010955,            0.010955
                  37,             0.11204,            0.097745,            0.051524,                   0,                   0,                   0,                   0,             0.17146,             0.02584,             0.42439,            0.010931,            0.010931,            0.010931
                  38,             0.11312,             0.11123,            0.050615,                   0,                   0,                   0,                   0,             0.17068,            0.024453,              0.3774,            0.010908,            0.010908,            0.010908
                  39,             0.11339,             0.10709,            0.049781,                   0,                   0,                   0,                   0,               0.168,             0.02631,             0.27222,            0.010885,            0.010885,            0.010885
                  40,             0.11147,             0.10778,            0.049679,                   0,                   0,                   0,                   0,             0.16314,            0.030649,             0.17293,            0.010862,            0.010862,            0.010862
                  41,             0.11378,             0.11893,            0.048873,           0.0022726,            0.013537,           0.0013269,          0.00023908,             0.14878,            0.047874,             0.11488,            0.010838,            0.010838,            0.010838
                  42,             0.11131,            0.096152,            0.049852,             0.18751,           0.0064731,           0.0024173,          0.00057043,             0.13754,            0.058334,            0.092014,            0.010815,            0.010815,            0.010815
                  43,             0.11145,             0.10315,            0.048735,             0.17013,            0.048154,           0.0020499,          0.00055955,             0.12522,            0.071775,            0.071157,            0.010792,            0.010792,            0.010792
                  44,             0.10818,             0.10216,            0.047239,           0.0086167,             0.11126,           0.0052332,           0.0015137,             0.12059,            0.076813,            0.064819,            0.010768,            0.010768,            0.010768
                  45,             0.11278,             0.10382,             0.04758,            0.012197,            0.080403,           0.0079711,           0.0016381,             0.11337,            0.082269,            0.058533,            0.010745,            0.010745,            0.010745
                  46,             0.10973,             0.10455,            0.048056,            0.010049,            0.048403,           0.0060294,           0.0014667,             0.11187,            0.084499,             0.05748,            0.010722,            0.010722,            0.010722
                  47,              0.1137,             0.11035,            0.047595,            0.011828,            0.067452,           0.0074337,           0.0016721,              0.1106,            0.083705,             0.05574,            0.010699,            0.010699,            0.010699
                  48,             0.11291,             0.10494,            0.046518,             0.17782,             0.14467,           0.0078407,            0.001837,             0.10958,            0.083136,            0.052318,            0.010675,            0.010675,            0.010675
                  49,             0.11036,             0.11033,            0.046094,             0.01008,              0.2307,           0.0078974,           0.0018073,             0.10837,            0.082897,            0.050288,            0.010652,            0.010652,            0.010652
                  50,             0.11246,             0.10718,            0.046169,             0.19098,             0.23908,            0.015591,           0.0034703,              0.1079,            0.083285,             0.04918,            0.010629,            0.010629,            0.010629
                  51,             0.11121,             0.10135,            0.046147,            0.015271,             0.15066,            0.008941,           0.0018458,             0.10901,            0.083188,            0.051367,            0.010605,            0.010605,            0.010605
                  52,             0.10871,            0.095915,            0.045586,           0.0088951,             0.16401,            0.006373,            0.001418,             0.11141,            0.081892,            0.055954,            0.010582,            0.010582,            0.010582
                  53,             0.10951,            0.097359,            0.048354,             0.19447,            0.012702,           0.0023978,          0.00049155,             0.11261,            0.082858,            0.060839,            0.010559,            0.010559,            0.010559
                  54,              0.1126,              0.1069,            0.045211,             0.17519,             0.12913,           0.0060043,           0.0013729,             0.11388,            0.079585,            0.063016,            0.010536,            0.010536,            0.010536
                  55,             0.11269,             0.10855,            0.045132,                   0,                   0,                   0,                   0,             0.13404,            0.079189,             0.11926,            0.010512,            0.010512,            0.010512
                  56,             0.11241,             0.11081,            0.044585,             0.18532,            0.067811,            0.010213,           0.0028219,             0.11221,            0.080526,            0.064029,            0.010489,            0.010489,            0.010489
                  57,             0.10832,            0.093776,            0.044204,           0.0066389,             0.06431,           0.0058364,           0.0020768,             0.11784,            0.086578,             0.07851,            0.010466,            0.010466,            0.010466
                  58,             0.11056,            0.096494,            0.045482,                   0,                   0,                   0,                   0,             0.13331,            0.083548,             0.12093,            0.010442,            0.010442,            0.010442
                  59,             0.11098,             0.10402,            0.045201,             0.35829,             0.04513,            0.013163,           0.0046139,             0.11059,            0.080513,            0.060245,            0.010419,            0.010419,            0.010419
                  60,             0.11167,             0.11531,            0.044433,             0.36366,             0.21697,            0.020703,           0.0046212,             0.10349,            0.083722,            0.043446,            0.010396,            0.010396,            0.010396
                  61,              0.1137,             0.10653,              0.0451,             0.19681,             0.23731,            0.018176,           0.0043532,             0.10525,            0.084102,            0.045879,            0.010372,            0.010372,            0.010372
                  62,             0.10952,             0.11053,            0.042935,             0.35144,             0.20212,            0.014152,           0.0036726,             0.10562,            0.084109,            0.045817,            0.010349,            0.010349,            0.010349
                  63,             0.10919,            0.098848,            0.041916,             0.34231,             0.15303,           0.0075653,           0.0015961,             0.10622,            0.084262,            0.048736,            0.010326,            0.010326,            0.010326
                  64,             0.10986,             0.10376,            0.043361,             0.34599,             0.09737,             0.01474,           0.0036005,             0.10564,            0.083488,             0.04774,            0.010303,            0.010303,            0.010303
                  65,             0.10971,             0.11106,            0.042324,           0.0084925,             0.14312,           0.0081299,           0.0014839,             0.10603,            0.083389,            0.048996,            0.010279,            0.010279,            0.010279
                  66,             0.11114,             0.11502,            0.042412,             0.34804,             0.21695,             0.01778,           0.0048548,             0.10565,            0.083866,            0.046731,            0.010256,            0.010256,            0.010256
                  67,             0.10854,             0.10466,            0.041535,            0.013456,             0.21369,              0.0141,            0.002891,             0.10433,              0.0841,            0.045688,            0.010233,            0.010233,            0.010233
                  68,             0.11268,             0.10714,            0.043019,             0.33664,            0.081761,           0.0032177,          0.00067946,             0.10889,            0.082796,            0.056277,            0.010209,            0.010209,            0.010209
                  69,             0.10915,             0.10564,            0.042328,           0.0054751,             0.20779,           0.0055302,           0.0015232,             0.10571,            0.085457,            0.049822,            0.010186,            0.010186,            0.010186
                  70,             0.10722,             0.10286,            0.040781,             0.16937,             0.10377,           0.0024316,           0.0005617,             0.11014,            0.083087,            0.057765,            0.010163,            0.010163,            0.010163
                  71,             0.11104,             0.10736,            0.041469,           0.0050514,             0.19429,           0.0050832,           0.0012729,             0.10688,            0.084636,            0.050039,             0.01014,             0.01014,             0.01014
                  72,             0.10981,             0.11034,            0.040799,           0.0089472,             0.16186,            0.008167,           0.0015329,             0.10485,            0.085881,            0.048295,            0.010116,            0.010116,            0.010116
                  73,             0.10617,             0.09873,            0.040187,            0.011049,             0.28534,           0.0095424,           0.0021736,             0.10436,            0.086141,            0.048546,            0.010093,            0.010093,            0.010093
                  74,             0.10434,             0.10631,            0.040664,             0.18619,              0.1244,            0.015733,           0.0036797,             0.10405,            0.084527,             0.04571,             0.01007,             0.01007,             0.01007
                  75,             0.10716,             0.10178,            0.039969,             0.18635,             0.16335,            0.013977,           0.0031309,             0.10466,            0.083915,            0.045204,            0.010046,            0.010046,            0.010046
                  76,             0.11131,             0.10664,            0.041613,             0.18004,             0.22804,            0.011566,           0.0026602,             0.10587,            0.083669,            0.045594,            0.010023,            0.010023,            0.010023
                  77,             0.10897,            0.096757,            0.042479,             0.18416,             0.20166,            0.014481,           0.0029477,             0.10468,            0.082552,            0.042599,           0.0099998,           0.0099998,           0.0099998
                  78,             0.11179,             0.10717,             0.04109,             0.34534,             0.12826,            0.010359,            0.002684,             0.10679,             0.08165,            0.045753,           0.0099765,           0.0099765,           0.0099765
                  79,             0.11207,             0.12564,            0.040744,             0.35601,             0.22679,             0.01842,           0.0045205,             0.10417,            0.082209,            0.041925,           0.0099532,           0.0099532,           0.0099532
                  80,               0.108,             0.10854,            0.042411,             0.36126,             0.13063,            0.018358,           0.0034572,             0.10358,            0.082743,            0.041596,           0.0099299,           0.0099299,           0.0099299
                  81,              0.1089,             0.11019,            0.039806,             0.36098,             0.10844,            0.017484,            0.004036,             0.10351,            0.082973,            0.042124,           0.0099066,           0.0099066,           0.0099066
                  82,             0.10761,             0.10131,            0.039157,            0.016103,             0.16221,            0.012849,           0.0025605,             0.10473,            0.083217,            0.048214,           0.0098833,           0.0098833,           0.0098833
                  83,             0.11019,             0.10511,            0.039368,            0.014754,              0.2118,            0.010138,           0.0022262,             0.10429,            0.085996,            0.049892,             0.00986,             0.00986,             0.00986
                  84,              0.1115,             0.11463,            0.038291,            0.010896,             0.26372,           0.0086665,           0.0017448,             0.10465,             0.08419,             0.04794,           0.0098368,           0.0098368,           0.0098368
                  85,             0.10959,             0.11308,            0.038072,            0.015733,             0.19409,            0.011076,           0.0023389,             0.10429,             0.08352,            0.045966,           0.0098135,           0.0098135,           0.0098135
                  86,             0.10564,            0.098875,            0.037911,             0.18381,            0.083103,            0.011472,           0.0019817,             0.10428,            0.082713,            0.044215,           0.0097902,           0.0097902,           0.0097902
                  87,              0.1045,            0.099829,            0.038568,             0.19326,             0.14384,            0.019705,             0.00412,             0.10351,            0.084289,            0.046055,           0.0097669,           0.0097669,           0.0097669
                  88,             0.10928,             0.11011,            0.038239,             0.19513,             0.16344,            0.023449,           0.0049346,              0.1036,            0.082478,            0.040561,           0.0097436,           0.0097436,           0.0097436
                  89,              0.1086,             0.11012,            0.036883,             0.18971,             0.16927,            0.019288,           0.0042328,             0.10383,            0.082344,            0.042999,           0.0097203,           0.0097203,           0.0097203
                  90,             0.10759,             0.10757,            0.038281,             0.19214,             0.14365,            0.018677,           0.0044055,              0.1038,             0.08304,            0.044809,            0.009697,            0.009697,            0.009697
                  91,              0.1103,             0.09841,            0.038527,             0.19078,             0.18514,            0.020834,           0.0040567,             0.10467,            0.082226,            0.043805,           0.0096737,           0.0096737,           0.0096737
                  92,             0.10731,             0.10509,            0.043064,               0.373,             0.03508,            0.010708,           0.0021466,              0.1055,            0.082854,            0.049292,           0.0096504,           0.0096504,           0.0096504
                  93,             0.10698,            0.098597,            0.041676,              0.1949,             0.20218,            0.027603,           0.0063889,             0.10147,            0.084313,            0.037471,           0.0096271,           0.0096271,           0.0096271
                  94,             0.10911,             0.10336,            0.038209,             0.36705,             0.21515,            0.027437,           0.0067745,             0.10209,             0.08379,            0.038773,           0.0096038,           0.0096038,           0.0096038
                  95,             0.10588,            0.095362,            0.038154,             0.18929,             0.21861,            0.019416,           0.0044029,             0.10174,            0.083821,            0.038029,           0.0095805,           0.0095805,           0.0095805
                  96,             0.10706,             0.10895,             0.03775,             0.36675,             0.20809,            0.028604,           0.0069473,             0.10144,            0.083806,            0.037091,           0.0095572,           0.0095572,           0.0095572
                  97,             0.10804,             0.10872,            0.038251,             0.18047,             0.22764,            0.012368,           0.0028281,             0.10437,             0.08341,            0.046355,            0.009534,            0.009534,            0.009534
                  98,             0.10592,             0.10746,            0.038014,             0.36002,             0.20488,             0.02395,           0.0056335,             0.10116,            0.083957,            0.036355,           0.0095107,           0.0095107,           0.0095107
                  99,              0.1114,             0.11537,            0.038044,             0.36968,             0.12472,            0.026798,           0.0068125,             0.10236,            0.083725,            0.040148,           0.0094874,           0.0094874,           0.0094874
                 100,             0.10716,             0.11363,            0.037997,             0.37356,            0.051054,            0.018848,           0.0052486,             0.10661,            0.083557,            0.055602,           0.0094641,           0.0094641,           0.0094641
                 101,             0.10738,             0.10831,            0.039328,             0.36302,             0.07319,             0.01676,           0.0048216,             0.10603,            0.083266,            0.054583,           0.0094408,           0.0094408,           0.0094408
                 102,              0.1083,             0.10493,             0.03899,              0.3676,             0.12122,            0.028548,           0.0080899,             0.10215,            0.084514,            0.040025,           0.0094175,           0.0094175,           0.0094175
                 103,             0.10998,             0.10164,             0.03556,             0.19666,             0.23008,             0.02852,           0.0074466,             0.10132,            0.085743,            0.035049,           0.0093942,           0.0093942,           0.0093942
                 104,             0.10494,             0.10262,            0.036323,             0.36653,             0.16634,            0.024872,           0.0061407,             0.10143,            0.085104,             0.03619,           0.0093709,           0.0093709,           0.0093709
                 105,             0.10869,             0.10493,             0.03908,             0.36382,              0.1823,            0.027782,           0.0074514,              0.1012,            0.085027,            0.034529,           0.0093476,           0.0093476,           0.0093476
                 106,             0.10745,            0.098155,            0.038323,               0.366,             0.17952,            0.031999,           0.0081211,             0.10216,            0.083858,            0.034246,           0.0093243,           0.0093243,           0.0093243
